device_count,no_of_tasks,Lan_delay,Failure_mob,Decision,fuzzy_probability,tilt_t2,tilt_t3
1200,300124,52,9.5,3,53.06696652,34.665,65.335
1485,343280,57.902,22.85,3,74.15986394557824,0,100
1382,320014,56.14,21.64,3,74.15986394557824,0,100
1344,310203,55.38,20.88,3,72.36,0,100
1651,380015,60.616,24.637,3,74.16,0,100
1244,284387,53.38,18.88,3,54.97,25.2,74.8
1610,370735,59.96,24.125,3,74.16,0,100
1679,386352,61.064,24.988,3,74.16,0,100
1381,319755,56.12,21.62,3,74.16,0,100
1555,358614,59.057,23.55,3,74.16,0,100
1515,349852,58.398,23.15,3,74.16,0,100
1352,312269,55.54,21.04,3,74.16,0,100
1551,357738,58.991,23.51,3,74.16,0,100
1629,375035,60.264,24.363,3,74.16,0,100
1077,248111,50.347,16.155,2,49.473,52.6,47.4
1387,321304,56.24,21.74,3,74.16,0,100
1562,360147,59.173,23.62,3,74.16,0,100
1343,309945,55.36,20.86,3,72.111,0,100
1804,415053,63.068,26.54,3,74.16,0,100
1237,282580,53.24,18.74,3,54.197,28.996,71.0
1274,292132,53.98,19.48,3,58.828,5.895,94.1
1749,402195,62.184,25.863,3,74.16,0,100
1084,249529,50.47,16.26,2,49.473,52.6,47.4
1188,270597,52.29,17.82,2,49.948,50.3,49.7
1564,360586,59.206,23.64,3,74.16,0,100
1362,314850,55.74,21.24,3,74.16,0,100
1400,324661,56.5,22.0,3,74.16,0,100
1591,366500,59.651,23.91,3,74.16,0,100
1722,396084,61.752,25.525,3,74.16,0,100
1875,438384,64.275,27.25,3,74.16,0,100
1526,352261,58.579,23.26,3,74.16,0,100
1216,277158,52.82,18.32,3,52.107,39.5,60.5
1721,395858,61.736,25.512,3,74.16,0,100
1632,375714,60.312,24.4,3,74.16,0,100
1927,455471,65.159,27.77,3,74.16,0,100
1475,341090,57.737,22.75,3,74.16,0,100
1354,312785,55.58,21.08,3,74.16,0,100
1807,416039,63.119,26.57,3,74.16,0,100
1962,466972,65.754,28.12,3,74.16,0,100
1636,376620,60.376,24.45,3,74.16,0,100
1302,299360,54.54,20.04,3,63.373,0,100
1695,389973,61.32,25.188,3,74.16,0,100
1853,431154,63.901,27.03,3,74.16,0,100
1009,234337,49.157,15.135,2,49.473,52.6,47.4
1501,346785,58.166,23.01,3,74.16,0,100
1842,427540,63.714,26.92,3,74.16,0,100
1305,300135,54.6,20.1,3,63.921,0,100
1049,242439,49.858,15.735,2,49.473,52.6,47.4
1183,269584,52.203,17.745,2,49.645,51.804,48.196
1369,316657,55.88,21.38,3,74.16,0,100
1039,240414,49.682,15.585,2,49.473,52.6,47.4
1013,235147,49.227,15.195,2,49.473,52.6,47.4
1799,413512,62.984,26.488,3,74.16,0,100
1504,347442,58.216,23.04,3,74.16,0,100
1293,297037,54.36,19.86,3,61.803,0,100
1948,462371,65.516,27.98,3,74.16,0,100
1852,430826,63.884,27.02,3,74.16,0,100
1140,260873,51.45,17.1,2,49.473,52.6,47.4
1591,366500,59.651,23.91,3,74.16,0,100
1350,311752,55.5,21.0,3,73.904,0,100
1095,251758,50.663,16.425,2,49.473,52.6,47.4
1370,316916,55.9,21.4,3,74.16,0,100
1002,232919,49.035,15.03,2,49.473,52.6,47.4
1046,241832,49.805,15.69,2,49.473,52.6,47.4
1836,425568,63.612,26.86,3,74.16,0,100
1762,405138,62.392,26.025,3,74.16,0,100
1461,338023,57.507,22.61,3,74.16,0,100
1913,450870,64.921,27.63,3,74.16,0,100
1642,377978,60.472,24.525,3,74.16,0,100
1901,446927,64.717,27.51,3,74.16,0,100
1050,242642,49.875,15.75,2,49.473,52.6,47.4
1002,232919,49.035,15.03,2,49.473,52.6,47.4
1950,463029,65.55,28.0,3,74.16,0,100
1873,437726,64.241,27.23,3,74.16,0,100
1054,243452,49.945,15.81,2,49.473,52.6,47.4
1979,472558,66.043,28.29,3,74.16,0,100
1721,395858,61.736,25.512,3,74.16,0,100
1700,391105,61.4,25.25,3,74.16,0,100
1684,387484,61.144,25.05,3,74.16,0,100
1060,244668,50.05,15.9,2,49.473,52.6,47.4
1342,309687,55.34,20.84,3,71.863,0,100
1156,264114,51.73,17.34,2,49.473,52.6,47.4
1276,292648,54.02,19.52,3,59.121,4.4,95.6
1916,451856,64.972,27.66,3,74.16,0,100
1969,469272,65.873,28.19,3,74.16,0,100
1454,336489,57.391,22.54,3,74.16,0,100
1632,375714,60.312,24.4,3,74.16,0,100
1756,403780,62.296,25.95,3,74.16,0,100
1180,268976,52.15,17.7,2,49.473,52.6,47.4
1155,263912,51.712,17.325,2,49.473,52.6,47.4
1246,284903,53.42,18.92,3,55.198,24.0,76.0
1753,403101,62.248,25.913,3,74.16,0,100
1312,301942,54.74,20.24,3,65.252,0,100
1084,249529,50.47,16.26,2,49.473,52.6,47.4
1227,279998,53.04,18.54,3,53.162,34.2,65.8
1395,323370,56.4,21.9,3,74.16,0,100
1268,290583,53.86,19.36,3,57.977,10.1,89.9
1602,368924,59.832,24.025,3,74.16,0,100
1691,389068,61.256,25.137,3,74.16,0,100
1116,256012,51.03,16.74,2,49.473,52.6,47.4
1752,402874,62.232,25.9,3,74.16,0,100
1634,376167,60.344,24.425,3,74.16,0,100
1191,271204,52.343,17.865,3,50.133,49.3,50.7
1025,237578,49.438,15.375,2,49.473,52.6,47.4
1443,334080,57.209,22.43,3,74.16,0,100
1344,310203,55.38,20.88,3,72.36,0,100
1770,406948,62.52,26.125,3,74.16,0,100
1322,304524,54.94,20.44,3,67.285,0,100
1023,237173,49.403,15.345,2,49.473,52.6,47.4
1289,296004,54.28,19.78,3,61.139,0,100
1912,450542,64.904,27.62,3,74.16,0,100
1701,391331,61.416,25.262,3,74.16,0,100
1917,452185,64.989,27.67,3,74.16,0,100
1021,236767,49.367,15.315,2,49.473,52.6,47.4
1448,335175,57.292,22.48,3,74.16,0,100
1109,254594,50.907,16.635,2,49.473,52.6,47.4
1276,292648,54.02,19.52,3,59.121,4.4,95.6
1420,329042,56.83,22.2,3,74.16,0,100
1495,345471,58.067,22.95,3,74.16,0,100
1582,364529,59.503,23.82,3,74.16,0,100
1116,256012,51.03,16.74,2,49.473,52.6,47.4
1576,363214,59.404,23.76,3,74.16,0,100
1986,474858,66.162,28.36,3,74.16,0,100
1992,476830,66.264,28.42,3,74.16,0,100
1798,413286,62.968,26.475,3,74.16,0,100
1627,374583,60.232,24.337,3,74.16,0,100
1848,429511,63.816,26.98,3,74.16,0,100
1453,336270,57.374,22.53,3,74.16,0,100
1690,388842,61.24,25.125,3,74.16,0,100
1220,278191,52.9,18.4,3,52.481,37.6,62.4
1502,347004,58.183,23.02,3,74.16,0,100
1777,408533,62.632,26.212,3,74.16,0,100
1010,234539,49.175,15.15,2,49.473,52.6,47.4
1514,349633,58.381,23.14,3,74.16,0,100
1118,256417,51.065,16.77,2,49.473,52.6,47.4
1347,310978,55.44,20.94,3,73.121,0,100
1474,340871,57.721,22.74,3,74.16,0,100
1862,434112,64.054,27.12,3,74.16,0,100
1495,345471,58.067,22.95,3,74.16,0,100
1050,242642,49.875,15.75,2,49.473,52.6,47.4
1399,324402,56.48,21.98,3,74.16,0,100
1853,431154,63.901,27.03,3,74.16,0,100
1094,251555,50.645,16.41,2,49.473,52.6,47.4
1250,285936,53.5,19.0,3,55.666,21.7,78.3
1953,464014,65.601,28.03,3,74.16,0,100
1445,334518,57.242,22.45,3,74.16,0,100
1863,434440,64.071,27.13,3,74.16,0,100
1279,293423,54.08,19.58,3,59.568,2.2,97.8
1088,250340,50.54,16.32,2,49.473,52.6,47.4
1219,277933,52.88,18.38,3,52.387,38.1,61.9
1541,355547,58.826,23.41,3,74.16,0,100
1531,353357,58.661,23.31,3,74.16,0,100
1893,444298,64.581,27.43,3,74.16,0,100
1266,290066,53.82,19.32,3,57.702,11.5,88.5
1748,401969,62.168,25.85,3,74.16,0,100
1171,267153,51.992,17.565,2,49.473,52.6,47.4
1741,400385,62.056,25.762,3,74.16,0,100
1235,282063,53.2,18.7,3,53.984,30.099999999999998,69.89999999999999
1855,431812,63.935,27.05,3,74.16,0,100
1292,296779,54.34,19.84,3,61.635,0,100
1504,347442,58.216,23.04,3,74.16,0,100
1801,414067,63.017,26.51,3,74.16,0,100
1779,408985,62.664,26.238,3,74.16,0,100
1271,291357,53.92,19.42,3,58.397,8.0,92.0
1777,408533,62.632,26.212,3,74.16,0,100
1967,468615,65.839,28.17,3,74.16,0,100
1618,372546,60.088,24.225,3,74.16,0,100
1380,319497,56.1,21.6,3,74.16,0,100
1252,286452,53.54,19.04,3,55.906,20.5,79.5
1296,297811,54.42,19.92,3,62.313,0,100
1795,412607,62.92,26.438,3,74.16,0,100
1227,279998,53.04,18.54,3,53.162,34.2,65.8
1369,316657,55.88,21.38,3,74.16,0,100
1167,266343,51.922,17.505,2,49.473,52.6,47.4
1301,299102,54.52,20.02,3,63.194,0,100
1060,244668,50.05,15.9,2,49.473,52.6,47.4
1458,337366,57.457,22.58,3,74.16,0,100
1500,346566,58.15,23.0,3,74.16,0,100
1572,362338,59.338,23.72,3,74.16,0,100
1380,319497,56.1,21.6,3,74.16,0,100
1888,442655,64.496,27.38,3,74.16,0,100
1950,463029,65.55,28.0,3,74.16,0,100
1900,446599,64.7,27.5,3,74.16,0,100
1147,262291,51.572,17.205,2,49.473,52.6,47.4
1992,476830,66.264,28.42,3,74.16,0,100
1613,371414,60.008,24.163,3,74.16,0,100
1117,256214,51.047,16.755,2,49.473,52.6,47.4
1290,296262,54.3,19.8,3,61.302,0,100
1961,466643,65.737,28.11,3,74.16,0,100
1359,314076,55.68,21.18,3,74.16,0,100
1033,239198,49.578,15.495,2,49.473,52.6,47.4
1632,375714,60.312,24.4,3,74.16,0,100
1814,418339,63.238,26.64,3,74.16,0,100
1574,362776,59.371,23.74,3,74.16,0,100
1332,307105,55.14,20.64,3,69.483,0,100
1698,390652,61.368,25.225,3,74.16,0,100
1545,356423,58.892,23.45,3,74.16,0,100
1713,394047,61.608,25.413,3,74.16,0,100
1837,425897,63.629,26.87,3,74.16,0,100
1509,348537,58.298,23.09,3,74.16,0,100
1157,264317,51.748,17.355,2,49.473,52.6,47.4
1411,327070,56.681,22.11,3,74.16,0,100
1749,402195,62.184,25.863,3,74.16,0,100
